desc,eval,img,intro,name,num,star
爱情哪怕只有一天。,520657人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,"
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,
                            1953 / 美国 / 喜剧 剧情 爱情
                        ",罗马假日,40,9.0
带着心爱的人在天空飞翔。,500677人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,
                            2004 / 日本 / 动画 奇幻 冒险
                        ",哈尔的移动城堡,41,9.0
别样人生。,309479人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,
                            2006 / 德国 / 剧情 悬疑
                        ",窃听风暴,42,9.1
史上最美的探戈。,442828人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p925123037.jpg,"
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,
                            1992 / 美国 / 剧情
                        ",闻香识女人,43,9.0
电影的现实意义大过电影本身。,305458人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,
                            2013 / 韩国 / 剧情
                        ",辩护人,44,9.2
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,344402人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,"
                            导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran,
                            1998 / 英国 / 剧情 喜剧 犯罪
                        ",两杆大烟枪,45,9.1
自由万岁。,347057人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,"
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,
                            1975 / 美国 / 剧情
                        ",飞越疯人院,46,9.1
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,377804人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg,"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,
                            1989 / 美国 / 剧情
                        ",死亡诗社,47,9.0
一张面具背后的理想与革命。,576948人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,"
                            导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...,
                            2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚
                        ",V字仇杀队,48,8.8
承前启后的史诗篇章。,365047人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ",指环王2：双塔奇兵,49,9.0
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,289266人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,"
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,
                            1987 / 英国 意大利 中国大陆 法国 美国 / 剧情 传记 历史
                        ",末代皇帝,50,9.1
